cross_street,direction,lat,lon,municipality,name,phase,source,stage1,stage2,status,stop_id,street
McDougall Rd,,43.46121303,-80.54524804,Waterloo,Keats Way at McDougall Rd,,GRT,,,Active,12213,Keats Way
Victoria St S,,43.44323498,-80.512007,Kitchener,Belmont Ave W at Victoria St S,,GRT,,,Active,11751,Belmont Ave W
Blythwood Dr,,43.48567501,-80.53729296,Waterloo,Hazel St at Blythwood Dr,,GRT,,,Active,10179,Hazel St
Fischer-Hallman Rd S,,43.431422,-80.525896,Kitchener,Highland Rd W at Fischer-Hallman Rd S,,GRT,,,Active,12234,Highland Rd W
Hagey Blvd,,43.474512,-80.547288,Waterloo,Columbia St W at Hagey Blvd,,GRT,,,Active,13584,Columbia St W
Green Meadow Cres,,43.49483001,-80.55954797,Waterloo,Northlake Dr at Green Meadow Cres,,GRT,,,Active,10145,Northlake Dr
Brynhurst Blvd,,43.456715,-80.56486301,Waterloo,Keats Way at Brynhurst Blvd,,GRT,,,Active,12718,Keats Way
King St N,,43.47819198,-80.52517302,Waterloo,Hickory St E at King St N,,GRT,,,Detour,11582,Hickory St E
Bathurst Dr,,43.50587703,-80.53561797,Waterloo,Northland Rd at Bathurst Dr,,GRT,,,Active,10227,Northland Rd
Tamarack Dr,,43.48496122,-80.53664656,Waterloo,Hazel St at Tamarack Dr,,GRT,,,Active,10164,Hazel St
Nothland Rd,,43.504827,-80.536775,Waterloo,King St N at Nothland Rd,,GRT,,,Active,11137,King St N
Weber St N,,43.483534,-80.522155,Waterloo,Columbia St E at Weber St N,,GRT,,,Active,12788,Columbia St E
Thorndale Dr,,43.442331,-80.56581,Waterloo,Ira Needles Blvd at Thorndale Dr,,GRT,,,Active,12974,Ira Needles Blvd
Chopin Dr,,43.44313399,-80.52266391,Kitchener,Westmount Rd W at Chopin Dr,,GRT,,,Active,12987,Westmount Rd W
University of Waterloo - University Club,,43.47273698,-80.54797802,Waterloo,Ring Rd at University of Waterloo - University Club,,GRT,,,Active,11571,Ring Rd
Central St,,43.46980701,-80.52373201,Waterloo,King St N at Central St,,GRT,,,Active,11589,King St N
Platform 3,,43.474034,-80.541204,Waterloo,University of Waterloo Station at Platform 3,,GRT,,,Active,13726,University of Waterloo Station
Oprington Dr,,43.43514,-80.532421,Kitchener,Victoria St S at Oprington Dr,,GRT,,,Active,12272,Victoria St S
Westwood Dr,,43.446241,-80.523118,Kitchener,Westmount Rd W at Westwood Dr,,GRT,,,Active,12988,Westmount Rd W
Platform 3,,43.474173,-80.540778,Waterloo,University of Waterloo Station at Platform 3,,GRT,,,Active,13728,University of Waterloo Station
Heather Hill Pl,,43.448492,-80.558366,Waterloo,Westvale Dr at Heather Hill Pl,,GRT,,,Active,11024,Westvale Dr
Cedar St,,43.53771695,-80.55388298,Woolwich,King St N at Cedar St,,GRT,,,Active,12861,King St N
Sunview St,,43.47326499,-80.53314801,Waterloo,University Ave W at Sunview St,,GRT,,,Active,11729,University Ave W
Stop 4003,,43.43544,-80.561022,Kitchener,The Boardwalk Station at Stop 4003,,GRT,,,Active,13180,The Boardwalk Station
ION platform - Southbound,,43.462149,-80.523369,Waterloo,Willis Way Station at ION platform - Southbound,,GRT,,,Active,13383,Willis Way Station
Gateview Dr,,43.450834,-80.557832,Waterloo,Erb St W at Gateview Dr,,GRT,,,Active,11022,Erb St W
Avondale Ave N,,43.46226,-80.53031996,Waterloo,Erb St W at Avondale Ave N,,GRT,,,Active,10999,Erb St W
Marsland Dr,,43.47930199,-80.51619803,Waterloo,University Ave E at Marsland Dr,,GRT,,,Active,11844,University Ave E
Medical Centre,,43.440242,-80.565481,Waterloo,The Boardwalk at Medical Centre,,GRT,,,Active,13721,The Boardwalk
Heather Hill Pl,,43.448411,-80.55822,Waterloo,Westvale Dr at Heather Hill Pl,,GRT,,,Active,13244,Westvale Dr
ION platform - Southbound,,43.457268,-80.51207,Kitchener,Grand River Hospital Station at ION platform - Southbound,,GRT,,,Active,13388,Grand River Hospital Station
Weber St N,,43.49155504,-80.537553,Waterloo,Albert St at Weber St N,,GRT,,,Active,10160,Albert St
Wissler Rd,,43.50511196,-80.52586696,Waterloo,Northfield Dr E at Wissler Rd,,GRT,,,Active,11135,Northfield Dr E
Parkside Dr,,43.49694799,-80.54620997,Waterloo,Northfield Dr W at Parkside Dr,,GRT,,,Active,10206,Northfield Dr W
High Crest Lane W,,43.535182,-80.554343,Woolwich,King St N at High Crest Lane W,,GRT,,,Active,13267,King St N
Marsland Dr,,43.484378,-80.519865,Waterloo,Columbia St E at Marsland Dr,,GRT,,,Active,12787,Columbia St E
Westwood Cres,,43.44513804,-80.52958199,Kitchener,Westwood Dr at Westwood Cres,,GRT,,,Active,12317,Westwood Dr
Glasglow St,,43.45198053,-80.51720006,Kitchener,Belmont Ave W at Glasglow St,,GRT,,,Active,12954,Belmont Ave W
Heasley Park Trail,,43.4879488,-80.55008486,Waterloo,Cedarbrae Ave at Heasley Park Trail,,GRT,,,Active,10155,Cedarbrae Ave
Chopin Dr,,43.43862699,-80.52419501,Kitchener,Hazelglen Dr at Chopin Dr,,GRT,,,Active,12186,Hazelglen Dr
Sanford Fleming Dr,,43.45695702,-80.56489695,Waterloo,Keats Way at Sanford Fleming Dr,,GRT,,,Active,11012,Keats Way
Union Blvd,,43.45251964,-80.52578763,Kitchener,Westmount Rd W at Union Blvd,,GRT,,,Active,12984,Westmount Rd W
Eden Valley Cres,,43.44586301,-80.56014004,Waterloo,Westvale Dr at Eden Valley Cres,,GRT,,,Active,11026,Westvale Dr
Stop 4001,,43.435392,-80.560344,Kitchener,The Boardwalk Station at Stop 4001,,GRT,,,Active,13178,The Boardwalk Station
ION platform - Southbound,,43.498309,-80.529428,Waterloo,Conestoga Station at ION platform - Southbound,,GRT,,,Active,13373,Conestoga Station
University of Waterloo - B.C. Matthews Hall,,43.47393197,-80.54622695,Waterloo,Ring Rd at University of Waterloo - B.C. Matthews Hall,,GRT,,,Active,11572,Ring Rd
Midwood Cres,,43.45787299,-80.55446003,Waterloo,Keats Way at Midwood Cres,,GRT,,,Active,12209,Keats Way
Benjamin Rd,,43.509883,-80.55580002,Woolwich,Farmers Market Rd at Benjamin Rd,,GRT,,,Active,12864,Farmers Market Rd
Ezra Ave,,43.4723138,-80.52427451,Waterloo,King St N at Ezra Ave,,GRT,,,Active,13026,King St N
University of Waterloo - Quantum Nano Centre,,43.470719,-80.54447,Waterloo,Ring Rd at University of Waterloo - Quantum Nano Centre,,GRT,,,Active,13583,Ring Rd
Weber St N,,43.46983704,-80.51364997,Waterloo,Bridgeport Rd E at Weber St N,,GRT,,,Active,10988,Bridgeport Rd E
Davenport Rd,,43.50528602,-80.529518,Waterloo,Frobisher Dr at Davenport Rd,,GRT,,,Active,11106,Frobisher Dr
Conestogo Rd W,,43.500188,-80.536994,Waterloo,Northfield Dr W at Conestogo Rd W,,GRT,,,Active,10207,Northfield Dr W
Westmount Rd N,,43.46449857,-80.54145644,Waterloo,University Ave W at Westmount Rd N,,GRT,,,Active,12659,University Ave W
King St N,,43.47582701,-80.52545,Waterloo,University Ave W at King St N,,GRT,,,Active,11841,University Ave W
300 Erb St W,,43.45651399,-80.54235897,Waterloo,Erb St W at 300 Erb St W,,GRT,,,Active,11004,Erb St W
Alice Ave,,43.44182802,-80.51525695,Kitchener,Victoria St S at Alice Ave,,GRT,,,Active,12175,Victoria St S
Highland Rd,,43.43616592,-80.51459317,Kitchener,Westmount Rd W at Highland Rd,,GRT,,,Active,12979,Westmount Rd W
Douglas St,,43.45566227,-80.52908588,Waterloo,Westmount Rd S at Douglas St,,GRT,,,Active,12993,Westmount Rd S
Thorndale Dr,,43.442434,-80.565642,Waterloo,Ira Needles Blvd at Thorndale Dr,,GRT,,,Active,12973,Ira Needles Blvd
Fischer-Hallman Rd S,,43.45260195,-80.55283004,Waterloo,Erb St W at Fischer-Hallman Rd S,,GRT,,,Active,11032,Erb St W
Toman Dr,,43.51540536,-80.51873322,Waterloo,Northfield Dr E at Toman Dr,,GRT,,,Active,12778,Northfield Dr E
Sunview St,,43.47339,-80.532244,Waterloo,University Ave W at Sunview St,,GRT,,,Active,13057,University Ave W
Weber St N,,43.47127,-80.513586,Waterloo,Lincoln Rd at Weber St N,,GRT,,,Active,13234,Lincoln Rd
Davenport Rd,,43.50535803,-80.52920795,Waterloo,Frobisher Dr at Davenport Rd,,GRT,,,Active,10215,Frobisher Dr
Bridgeport Rd W,,43.46733696,-80.52307696,Waterloo,King St N at Bridgeport Rd W,,GRT,,,Active,10991,King St N
Lester St,,43.47797199,-80.53743494,Waterloo,Columbia St W at Lester St,,GRT,,,Active,11567,Columbia St W
University of Waterloo - Village 1,,43.47315996,-80.55098304,Waterloo,Columbia St W at University of Waterloo - Village 1,,GRT,,,Active,10101,Columbia St W
Gatestone Blvd,,43.470116,-80.568257,Waterloo,Fischer-Hallman Rd N at Gatestone Blvd,,GRT,,,Active,13249,Fischer-Hallman Rd N
Gage Ave,,43.44773303,-80.51414801,Kitchener,Belmont Ave W at Gage Ave,,GRT,,,Active,11820,Belmont Ave W
Ring Rd Exit,,43.46618702,-80.540567,Waterloo,University Ave W at Ring Rd Exit,,GRT,,,Active,11732,University Ave W
Northland Rd,,43.50894,-80.528472,Waterloo,McMurray Rd at Northland Rd,,GRT,,,Active,10222,McMurray Rd
Northfield Dr E,,43.502142,-80.533603,Waterloo,King St N at Northfield Dr E,,GRT,,,Active,11136,King St N
Bridge St W,,43.51191698,-80.52326695,Waterloo,Frobisher Dr at Bridge St W,,GRT,,,Active,12772,Frobisher Dr
John St W,,43.45444696,-80.52760496,Waterloo,Westmount Rd S at John St W,,GRT,,,Active,11828,Westmount Rd S
Fischer-Hallman Rd N,,43.45819549,-80.557256,Waterloo,Keats Way at Fischer-Hallman Rd N,,GRT,,,Active,12991,Keats Way
Henry St,,43.53299298,-80.55456195,Woolwich,King St N at Henry St,,GRT,,,Active,11139,King St N
Old Abbey Rd,,43.49994799,-80.52560995,Waterloo,Davenport Rd at Old Abbey Rd,,GRT,,,Active,10211,Davenport Rd
Glasgow St,,43.44756002,-80.52849797,Kitchener,Inwood Dr at Glasgow St,,GRT,,,Active,12315,Inwood Dr
Overlea Dr,,43.43528701,-80.51253803,Kitchener,Westmount Rd W at Overlea Dr,,GRT,,,Active,12239,Westmount Rd W
Rupert St,,43.506596,-80.534454,Waterloo,Northland Rd at Rupert St,,GRT,,,Active,10226,Northland Rd
ION platform - Northbound,,43.497206,-80.543176,Waterloo,Northfield Station at ION platform - Northbound,,GRT,,,Active,13375,Northfield Station
Westcourt Pl,,43.46217696,-80.53902699,Waterloo,Westmount Rd N at Westcourt Pl,,GRT,,,Active,11734,Westmount Rd N
William St,,43.45589295,-80.52906801,Waterloo,Westmount Rd S at William St,,GRT,,,Active,11829,Westmount Rd S
Marshall,,43.47247136,-80.52405569,Waterloo,King St N at Marshall,,GRT,,,Active,13025,King St N
Lester St,,43.47785695,-80.53726198,Waterloo,Columbia St W at Lester St,,GRT,,,Active,11575,Columbia St W
Devitt Ave,,43.46917001,-80.51523199,Waterloo,Bridgeport Rd E at Devitt Ave,,GRT,,,Active,10989,Bridgeport Rd E
Golden Eagle Rd,,43.49901593,-80.55138072,Waterloo,Weber St N at Golden Eagle Rd,,GRT,,,Active,13852,Weber St N
ION platform - Southbound,,43.473261,-80.541209,Waterloo,University of Waterloo Station at ION platform - Southbound,,GRT,,,Active,13380,University of Waterloo Station
Sprucehill Ave,,43.48961399,-80.54806001,Waterloo,Cedarbrae Ave at Sprucehill Ave,,GRT,,,Active,10157,Cedarbrae Ave
Marshall St,,43.47503801,-80.51744296,Waterloo,Weber St N at Marshall St,,GRT,,,Active,11889,Weber St N
Hazel St,,43.47524001,-80.52789997,Waterloo,University Ave W at Hazel St,,GRT,,,Active,13008,University Ave W
Columbia St E,,43.482448,-80.526106,Waterloo,King St N at Columbia St E,,GRT,,,Active,13274,King St N
Holly St,,43.48070297,-80.52968698,Waterloo,Columbia St W at Holly St,,GRT,,,Active,11564,Columbia St W
Dearborn Blvd,,43.490208,-80.516945,Waterloo,Lexington Rd at Dearborn Blvd,,GRT,,,Active,12785,Lexington Rd
Northfield Dr E,,43.50147446,-80.530614,Waterloo,Kraus Dr at Northfield Dr E,,GRT,,,Active,13158,Kraus Dr
Hemlock St,,43.47412697,-80.53031004,Waterloo,University Ave W at Hemlock St,,GRT,,,Active,11839,University Ave W
Path to McCarron Cres,,43.45732697,-80.55201295,Waterloo,Keats Way at Path to McCarron Cres,,GRT,,,Active,12219,Keats Way
Wissler Rd,,43.50521499,-80.52555197,Waterloo,Northfield Dr E at Wissler Rd,,GRT,,,Active,10954,Northfield Dr E
Randall Dr,,43.5011074,-80.55294434,Waterloo,Weber St N at Randall Dr,,GRT,,,Active,13853,Weber St N
Waterloo Collegiate Institute,,43.47895499,-80.53103103,Waterloo,Hazel St at Waterloo Collegiate Institute,,GRT,,,Active,10167,Hazel St
Longwood Dr,,43.49054201,-80.53916294,Waterloo,Albert St at Longwood Dr,,GRT,,,Active,10182,Albert St
Wes Graham Way,,43.47924997,-80.54958696,Waterloo,Hagey Blvd at Wes Graham Way,,GRT,,,Active,13019,Hagey Blvd
Gage Ave,,43.447603,-80.51428796,Kitchener,Belmont Ave W at Gage Ave,,GRT,,,Active,11749,Belmont Ave W
Hazel St,,43.48003495,-80.53112504,Waterloo,Columbia St W at Hazel St,,GRT,,,Active,11577,Columbia St W
Highland Rd,,43.43154013,-80.52521131,Kitchener,Fischer-Hallman Rd at Highland Rd,,GRT,,,Active,12948,Fischer-Hallman Rd
Kumpf Dr,,43.50372086,-80.54473724,Waterloo,Randall Dr at Kumpf Dr,,GRT,,,Active,13847,Randall Dr
Amos Ave,,43.45842202,-80.54916703,Waterloo,Keats Way at Amos Ave,,GRT,,,Active,12992,Keats Way
Toman Dr,,43.51481504,-80.51950905,Waterloo,Northfield Dr E at Toman Dr,,GRT,,,Active,12770,Northfield Dr E
Dunvegan Dr,,43.49454204,-80.51019998,Waterloo,Lexington Rd at Dunvegan Dr,,GRT,,,Active,12700,Lexington Rd
North Campus Rd,,43.4744891,-80.54661289,Waterloo,Columbia St W at North Campus Rd,,GRT,,,Active,12946,Columbia St W
Sandford Fleming Dr,,43.45600301,-80.56173502,Waterloo,Keats Way at Sandford Fleming Dr,,GRT,,,Active,12531,Keats Way
Westmount Rd E,,43.43316303,-80.51068296,Kitchener,Queens Blvd at Westmount Rd E,,GRT,,,Active,12412,Queens Blvd
Leighland Dr,,43.45763799,-80.56832195,Waterloo,Keats Way at Leighland Dr,,GRT,,,Active,11013,Keats Way
Thorndale Dr,,43.44856296,-80.55030196,Waterloo,Fischer-Hallman Rd S at Thorndale Dr,,GRT,,,Active,12226,Fischer-Hallman Rd S
Columbia St W,,43.46855802,-80.567125,Waterloo,Fischer-Hallman Rd N at Columbia St W,,GRT,,,Active,10120,Fischer-Hallman Rd N
